Test_Id,Test_Category,Scenario,User_Input,Target_Intent,Input_Format,Execution_Mode,Expected_Signal_JSON,Expected_Signal_Status,Expected_Signal_Warnings,Expected_Context_JSON,Expected_Context_Status,Expected_Action_Items_JSON,Expected_Action_Count,Expected_Decisions_JSON,Expected_Decision_Count,Expected_Conflict_Status,Expected_Escalation_Risk,Expected_Escalation_Probability,Expected_Owner,Expected_Deadline,Expected_Suggested_Response,Expected_Confidence,Expected_Workflow_Status,Expected_Human_Review,Expected_Autonomous_Action,Expected_Error_Stage,Expected_Error_Class,Applicable_Metric_IDs,Priority,Notes,Label_Quality_Check
SMI-GD-001,Happy Path,Explicit high-priority action with relative deadline,"{""event_type"":""message"",""message_id"":""MSG-001"",""channel"":""#engineering"",""thread_id"":null,""timestamp"":""2026-09-11T10:00:00+05:30"",""sender"":""Aarav"",""text"":""@Sneha can you investigate why the report disappeared from the build? Need an update before tomorrow's review."",""synced_history"":[],""mocked_context"":{},""user_profile"":{""name"":""Sneha"",""aliases"":[""Sneha"",""@sneha""],""owned_items"":[],""expertise"":[]},""batch_metadata"":null}","Classify an explicit action, assign Sneha, and normalize tomorrow to a date.",Slack event JSON,Nebius /v1/chat/completions,"{""primary_type"":""ACTION_REQUIRED"",""secondary_types"":[],""priority"":""HIGH"",""owner"":""Sneha"",""action_required"":true,""deadline"":""2026-09-12"",""incident_id"":null,""work_item_ids"":[],""silent_mention"":false,""confidence"":0.99}",SUCCESS,,"{""briefing"":""The build report is missing and Sneha has been asked to investigate before the 12 September review."",""key_facts"":[],""open_questions"":[""Why did the report disappear from the build?""],""related_message_ids"":[],""suggested_response"":""I’ll investigate the missing build report and share an update before tomorrow’s review."",""confidence"":0.95}",ENRICHED,"[{""task"":""Investigate why the report disappeared from the build"",""owner"":""Sneha"",""deadline"":""2026-09-12"",""source_message_id"":""MSG-001"",""status"":""OPEN""}]",1,[],0,NONE,MEDIUM,0.45,Sneha,12-09-2026,I’ll investigate the missing build report and share an update before tomorrow’s review.,0.99,COMPLETED,No,CREATE_TASK_AND_ALERT,,,EVAL-001|EVAL-002|EVAL-003|EVAL-004|EVAL-005|EVAL-006|EVAL-007,P0,,OK
SMI-GD-002,Happy Path,Informational deployment update,"{""event_type"":""message"",""message_id"":""MSG-002"",""channel"":""#engineering"",""thread_id"":null,""timestamp"":""2026-09-11T09:00:00+05:30"",""sender"":""Aarav"",""text"":""FYI: release 4.8.2 completed successfully in production. No customer impact observed."",""synced_history"":[],""mocked_context"":{},""user_profile"":{""name"":""Sneha"",""aliases"":[""Sneha"",""@sneha""],""owned_items"":[],""expertise"":[]},""batch_metadata"":null}",Suppress non-actionable FYI noise while retaining the information.,Slack event JSON,Nebius /v1/chat/completions,"{""primary_type"":""FYI"",""secondary_types"":[],""priority"":""LOW"",""owner"":null,""action_required"":false,""deadline"":null,""incident_id"":null,""work_item_ids"":[],""silent_mention"":false,""confidence"":0.99}",SUCCESS,,"{""briefing"":""Release 4.8.2 completed successfully with no observed customer impact."",""key_facts"":[""Release 4.8.2 completed"",""No customer impact observed""],""open_questions"":[],""related_message_ids"":[],""suggested_response"":"""",""confidence"":0.98}",CURRENT_MESSAGE_ONLY,[],0,[],0,NONE,LOW,0.02,,,,0.99,COMPLETED,No,ARCHIVE_FYI,,,EVAL-001|EVAL-002|EVAL-003|EVAL-004|EVAL-005|EVAL-006|EVAL-007,P1,,OK
SMI-GD-003,Happy Path,Direct technical question,"{""event_type"":""message"",""message_id"":""MSG-003"",""channel"":""#engineering"",""thread_id"":null,""timestamp"":""2026-09-11T09:00:00+05:30"",""sender"":""Aarav"",""text"":""@Sneha, does the parity validator support reruns after a partial failure?"",""synced_history"":[],""mocked_context"":{},""user_profile"":{""name"":""Sneha"",""aliases"":[""Sneha"",""@sneha""],""owned_items"":[],""expertise"":[]},""batch_metadata"":null}",Identify a question directed to Sneha and prepare a response draft.,Slack event JSON,Nebius /v1/chat/completions,"{""primary_type"":""QUESTION"",""secondary_types"":[],""priority"":""MEDIUM"",""owner"":""Sneha"",""action_required"":true,""deadline"":null,""incident_id"":null,""work_item_ids"":[],""silent_mention"":false,""confidence"":0.98}",SUCCESS,,"{""briefing"":""Aarav asks whether the parity validator supports reruns after a partial failure."",""key_facts"":[],""open_questions"":[""Does the parity validator support reruns after a partial failure?""],""related_message_ids"":[],""suggested_response"":""I’ll confirm the rerun behavior for partial failures and reply here."",""confidence"":0.94}",ENRICHED,"[{""task"":""Confirm parity-validator rerun behavior after partial failure"",""owner"":""Sneha"",""deadline"":null,""source_message_id"":""MSG-003"",""status"":""OPEN""}]",1,[],0,NONE,LOW,0.1,Sneha,,I’ll confirm the rerun behavior for partial failures and reply here.,0.98,COMPLETED,No,PREPARE_RESPONSE_DRAFT,,,EVAL-001|EVAL-002|EVAL-003|EVAL-004|EVAL-005|EVAL-006|EVAL-007,P1,,OK
SMI-GD-004,Happy Path,Production incident detected,"{""event_type"":""message"",""message_id"":""MSG-004"",""channel"":""#inc-checkout"",""thread_id"":null,""timestamp"":""2026-09-11T09:00:00+05:30"",""sender"":""Monitoring Bot"",""text"":""INC-7421: checkout API is returning 503s in production. Error rate is 38% and rising."",""synced_history"":[],""mocked_context"":{},""user_profile"":{""name"":""Sneha"",""aliases"":[""Sneha"",""@sneha""],""owned_items"":[],""expertise"":[]},""batch_metadata"":null}",Detect a critical production incident and alert the on-call owner.,Slack event JSON,Nebius /v1/chat/completions,"{""primary_type"":""INCIDENT"",""secondary_types"":[],""priority"":""CRITICAL"",""owner"":""Checkout On-call"",""action_required"":true,""deadline"":null,""incident_id"":""INC-7421"",""work_item_ids"":[],""silent_mention"":false,""confidence"":0.99}",SUCCESS,,"{""briefing"":""Production checkout API incident INC-7421 is causing a rising 503 error rate of 38%."",""key_facts"":[""Environment: production"",""Error: HTTP 503"",""Error rate: 38% and rising""],""open_questions"":[""What change triggered the failure?""],""related_message_ids"":[],""suggested_response"":""Acknowledged INC-7421. Checkout on-call is investigating the rising production 503 rate."",""confidence"":0.97}",ENRICHED,"[{""task"":""Investigate production checkout API 503 errors"",""owner"":""Checkout On-call"",""deadline"":null,""source_message_id"":""MSG-004"",""status"":""OPEN""}]",1,[],0,NONE,CRITICAL,0.95,Checkout On-call,,Acknowledged INC-7421. Checkout on-call is investigating the rising production 503 rate.,0.99,COMPLETED,No,PAGE_ON_CALL,,,EVAL-001|EVAL-002|EVAL-003|EVAL-004|EVAL-005|EVAL-006|EVAL-007,P0,,OK
SMI-GD-005,Happy Path,Escalation language in blocked thread,"{""event_type"":""message"",""message_id"":""MSG-005"",""channel"":""#inc-reporting"",""thread_id"":""THR-100"",""timestamp"":""2026-09-11T09:00:00+05:30"",""sender"":""Aarav"",""text"":""Still blocked. Any update? Leadership is asking and we need this ASAP."",""synced_history"":[{""message_id"":""MSG-005A"",""sender"":""Sneha"",""text"":""The reporting build is failing. I am checking the deployment.""},{""message_id"":""MSG-005B"",""sender"":""PM"",""text"":""This blocks tomorrow's customer review.""}],""mocked_context"":{},""user_profile"":{""name"":""Sneha"",""aliases"":[""Sneha"",""@sneha""],""owned_items"":[],""expertise"":[]},""batch_metadata"":null}",Predict imminent escalation from repeated urgency and leadership attention.,Slack event JSON,Nebius /v1/chat/completions,"{""primary_type"":""ESCALATION"",""secondary_types"":[],""priority"":""CRITICAL"",""owner"":""Sneha"",""action_required"":true,""deadline"":null,""incident_id"":null,""work_item_ids"":[],""silent_mention"":false,""confidence"":0.98}",SUCCESS,,"{""briefing"":""The reporting build remains unresolved, blocks a customer review, and leadership is requesting an immediate update."",""key_facts"":[""Issue remains blocked"",""Customer review is affected"",""Leadership is asking""],""open_questions"":[],""related_message_ids"":[""MSG-005A"",""MSG-005B""],""suggested_response"":""The reporting build remains under investigation. I’ll post the current status and recovery ETA within 30 minutes."",""confidence"":0.96}",ENRICHED,"[{""task"":""Post status and recovery ETA for the reporting build"",""owner"":""Sneha"",""deadline"":""2026-09-11T09:30:00+05:30"",""source_message_id"":""MSG-005"",""status"":""OPEN""}]",1,[],0,NONE,HIGH,0.83,Sneha,2026-09-11T09:30:00+05:30,The reporting build remains under investigation. I’ll post the current status and recovery ETA within 30 minutes.,0.98,COMPLETED,No,SEND_ESCALATION_ALERT,,,EVAL-001|EVAL-002|EVAL-003|EVAL-004|EVAL-005|EVAL-006|EVAL-007,P0,,OK
SMI-GD-006,Happy Path,Explicit approval request,"{""event_type"":""message"",""message_id"":""MSG-006"",""channel"":""#engineering"",""thread_id"":null,""timestamp"":""2026-09-11T11:15:00+05:30"",""sender"":""Aarav"",""text"":""@Sneha please approve PR 9182 for the report rollout before 3 PM today."",""synced_history"":[],""mocked_context"":{},""user_profile"":{""name"":""Sneha"",""aliases"":[""Sneha"",""@sneha""],""owned_items"":[],""expertise"":[]},""batch_metadata"":null}",Recognize an approval request without granting approval autonomously.,Slack event JSON,Nebius /v1/chat/completions,"{""primary_type"":""APPROVAL_REQUEST"",""secondary_types"":[],""priority"":""HIGH"",""owner"":""Sneha"",""action_required"":true,""deadline"":""2026-09-11T15:00:00+05:30"",""incident_id"":null,""work_item_ids"":[""PR-9182""],""silent_mention"":false,""confidence"":0.99}",SUCCESS,,"{""briefing"":""Sneha’s approval is requested for PR 9182 before 3 PM today."",""key_facts"":[""PR 9182 requires approval"",""Deadline is 3 PM today""],""open_questions"":[],""related_message_ids"":[],""suggested_response"":""I’ll review PR 9182 and record my decision before 3 PM."",""confidence"":0.97}",ENRICHED,"[{""task"":""Review PR 9182 and record approval decision"",""owner"":""Sneha"",""deadline"":""2026-09-11T15:00:00+05:30"",""source_message_id"":""MSG-006"",""status"":""OPEN""}]",1,[],0,NONE,MEDIUM,0.35,Sneha,2026-09-11T15:00:00+05:30,I’ll review PR 9182 and record my decision before 3 PM.,0.99,HUMAN_REVIEW,Yes,REQUEST_HUMAN_APPROVAL,,,EVAL-001|EVAL-002|EVAL-003|EVAL-004|EVAL-005|EVAL-006|EVAL-007,P0,,OK
SMI-GD-007,Happy Path,Architecture decision needed,"{""event_type"":""message"",""message_id"":""MSG-007"",""channel"":""#engineering"",""thread_id"":null,""timestamp"":""2026-09-09T14:00:00+05:30"",""sender"":""Tech Lead"",""text"":""We need to choose design pattern A or design pattern B for the retry service. @Sneha, please decide by Friday."",""synced_history"":[],""mocked_context"":{},""user_profile"":{""name"":""Sneha"",""aliases"":[""Sneha"",""@sneha""],""owned_items"":[],""expertise"":[]},""batch_metadata"":null}","Identify a pending decision, alternatives, owner, and deadline.",Slack event JSON,Nebius /v1/chat/completions,"{""primary_type"":""DECISION_NEEDED"",""secondary_types"":[],""priority"":""HIGH"",""owner"":""Sneha"",""action_required"":true,""deadline"":""2026-09-11"",""incident_id"":null,""work_item_ids"":[],""silent_mention"":false,""confidence"":0.98}",SUCCESS,,"{""briefing"":""A design decision between patterns A and B is required for the retry service by Friday."",""key_facts"":[""Alternatives: pattern A and pattern B"",""Decision owner: Sneha""],""open_questions"":[""Which pattern should the retry service use?""],""related_message_ids"":[],""suggested_response"":""I’ll compare patterns A and B and post the retry-service decision by Friday."",""confidence"":0.95}",ENRICHED,"[{""task"":""Decide between design patterns A and B for the retry service"",""owner"":""Sneha"",""deadline"":""2026-09-11"",""source_message_id"":""MSG-007"",""status"":""OPEN""}]",1,[],0,NONE,MEDIUM,0.4,Sneha,11-09-2026,I’ll compare patterns A and B and post the retry-service decision by Friday.,0.98,HUMAN_REVIEW,Yes,OPEN_DECISION_REQUEST,,,EVAL-001|EVAL-002|EVAL-003|EVAL-004|EVAL-005|EVAL-006|EVAL-007,P1,,OK
SMI-GD-008,Happy Path,Context enrichment by task ID,"{""event_type"":""message"",""message_id"":""MSG-008"",""channel"":""#engineering"",""thread_id"":""THR-63414893"",""timestamp"":""2026-09-11T09:00:00+05:30"",""sender"":""Aarav"",""text"":""Can we announce the report rollout for task 63414893?"",""synced_history"":[{""message_id"":""MSG-008A"",""sender"":""Aarav"",""text"":""Report rollout task 63414893 is ready for validation.""},{""message_id"":""MSG-008B"",""sender"":""Build Bot"",""text"":""Task 63414893: report was enabled in build 2201.""}],""mocked_context"":{""ado"":[{""id"":""63414893"",""status"":""Ready for validation""}],""incidents"":[]},""user_profile"":{""name"":""Sneha"",""aliases"":[""Sneha"",""@sneha""],""owned_items"":[],""expertise"":[]},""batch_metadata"":null}",Retrieve related Slack and mocked ADO/build context before drafting the answer.,Slack event JSON,Nebius /v1/chat/completions,"{""primary_type"":""QUESTION"",""secondary_types"":[],""priority"":""MEDIUM"",""owner"":null,""action_required"":true,""deadline"":null,""incident_id"":null,""work_item_ids"":[""63414893""],""silent_mention"":false,""confidence"":0.98}",SUCCESS,,"{""briefing"":""Task 63414893 is ready for validation and the report was enabled in build 2201. No active incidents were found."",""key_facts"":[""ADO task 63414893 is ready for validation"",""Report enabled in build 2201"",""No active incidents""],""open_questions"":[""Has validation completed?""],""related_message_ids"":[""MSG-008A"",""MSG-008B""],""suggested_response"":""The report is enabled and task 63414893 is ready for validation. We should announce after validation is confirmed."",""confidence"":0.98}",ENRICHED,[],0,[],0,NONE,LOW,0.08,,,The report is enabled and task 63414893 is ready for validation. We should announce after validation is confirmed.,0.98,COMPLETED,No,PREPARE_RESPONSE_DRAFT,,,EVAL-001|EVAL-002|EVAL-003|EVAL-004|EVAL-005|EVAL-006|EVAL-007,P1,,OK
SMI-GD-009,Happy Path,Single task extraction,"{""event_type"":""message"",""message_id"":""MSG-009"",""channel"":""#engineering"",""thread_id"":null,""timestamp"":""2026-09-08T09:00:00+05:30"",""sender"":""Aarav"",""text"":""We need the parity report before Friday. Sneha can own the test plan."",""synced_history"":[],""mocked_context"":{},""user_profile"":{""name"":""Sneha"",""aliases"":[""Sneha"",""@sneha""],""owned_items"":[],""expertise"":[]},""batch_metadata"":null}",Extract a grounded task with owner and deadline.,Slack event JSON,Nebius /v1/chat/completions,"{""primary_type"":""ACTION_REQUIRED"",""secondary_types"":[],""priority"":""HIGH"",""owner"":""Sneha"",""action_required"":true,""deadline"":""2026-09-11"",""incident_id"":null,""work_item_ids"":[],""silent_mention"":false,""confidence"":0.97}",SUCCESS,,"{""briefing"":""Sneha owns the parity-report test plan due before Friday."",""key_facts"":[],""open_questions"":[],""related_message_ids"":[],""suggested_response"":""I’ll prepare the parity-report test plan before Friday."",""confidence"":0.94}",ENRICHED,"[{""task"":""Prepare the parity-report test plan"",""owner"":""Sneha"",""deadline"":""2026-09-11"",""source_message_id"":""MSG-009"",""status"":""OPEN""}]",1,[],0,NONE,MEDIUM,0.3,Sneha,11-09-2026,I’ll prepare the parity-report test plan before Friday.,0.97,COMPLETED,No,CREATE_TASK,,,EVAL-001|EVAL-002|EVAL-003|EVAL-004|EVAL-005|EVAL-006|EVAL-007,P1,,OK
SMI-GD-010,Happy Path,Multiple action items,"{""event_type"":""message"",""message_id"":""MSG-010"",""channel"":""#engineering"",""thread_id"":null,""timestamp"":""2026-09-07T10:00:00+05:30"",""sender"":""Manager"",""text"":""Sneha: validate the report by Thursday. Ravi: update the runbook by Friday. Priya: schedule the readiness review for Monday."",""synced_history"":[],""mocked_context"":{},""user_profile"":{""name"":""Sneha"",""aliases"":[""Sneha"",""@sneha""],""owned_items"":[],""expertise"":[]},""batch_metadata"":null}",Extract three distinct tasks with their own owners and deadlines.,Slack event JSON,Nebius /v1/chat/completions,"{""primary_type"":""ACTION_REQUIRED"",""secondary_types"":[],""priority"":""HIGH"",""owner"":""Multiple"",""action_required"":true,""deadline"":""2026-09-10"",""incident_id"":null,""work_item_ids"":[],""silent_mention"":false,""confidence"":0.99}",SUCCESS,,"{""briefing"":""Three readiness tasks are assigned to Sneha, Ravi, and Priya with deadlines from Thursday through Monday."",""key_facts"":[""Sneha validates the report"",""Ravi updates the runbook"",""Priya schedules the review""],""open_questions"":[],""related_message_ids"":[],""suggested_response"":"""",""confidence"":0.97}",ENRICHED,"[{""task"":""Validate the report"",""owner"":""Sneha"",""deadline"":""2026-09-10"",""source_message_id"":""MSG-010"",""status"":""OPEN""},{""task"":""Update the runbook"",""owner"":""Ravi"",""deadline"":""2026-09-11"",""source_message_id"":""MSG-010"",""status"":""OPEN""},{""task"":""Schedule the readiness review"",""owner"":""Priya"",""deadline"":""2026-09-14"",""source_message_id"":""MSG-010"",""status"":""OPEN""}]",3,[],0,NONE,MEDIUM,0.3,Multiple,10-09-2026,,0.99,COMPLETED,No,CREATE_TASKS,,,EVAL-001|EVAL-002|EVAL-003|EVAL-004|EVAL-005|EVAL-006|EVAL-007,P1,,OK
